0.000000000000000000e+00 6.296956776702609559e+00 1.103655902372587327e+01 1.643037085366133354e+01 2.009600679647585864e+01 2.354101808839638466e+01 2.683547582392361264e+01 2.653072946480326877e+01
1.000000000000000000e+00 6.292145080541452273e+00 1.104697974961490736e+01 1.642970603020945930e+01 2.009609995347571498e+01 2.354087533167421142e+01 2.683580090089504466e+01 2.653135287469009995e+01
2.000000000000000000e+00 6.309759029127701702e+00 1.106399126503205821e+01 1.642921768402261407e+01 2.009605386353011980e+01 2.354045317269432758e+01 2.683424855479307070e+01 2.652996927934970373e+01
3.000000000000000000e+00 6.296635019563498581e+00 1.107330792760198612e+01 1.642912678003400728e+01 2.009606202988378953e+01 2.354038851134974664e+01 2.683424412535038783e+01 2.652985797691279402e+01
4.000000000000000000e+00 6.272430452181954941e+00 1.107375969014479544e+01 1.642924563329804855e+01 2.009611831392248149e+01 2.354063089478456305e+01 2.683537264838643921e+01 2.653082831792421814e+01
5.000000000000000000e+00 6.280265162365648024e+00 1.106788058913493167e+01 1.642933516187342846e+01 2.009616015092431951e+01 2.354080412845428327e+01 2.683607601679782206e+01 2.653146218546356039e+01
6.000000000000000000e+00 6.305166600210635686e+00 1.106243342624212467e+01 1.642932585747184859e+01 2.009615414826682311e+01 2.354078134725749649e+01 2.683590064776643658e+01 2.653128738501136752e+01
7.000000000000000000e+00 6.322984029485802182e+00 1.105899023743998555e+01 1.642928381560656703e+01 2.009613272529045247e+01 2.354068581254962567e+01 2.683542953061966685e+01 2.653083809397876180e+01
8.000000000000000000e+00 6.325367201106490533e+00 1.105578707505324942e+01 1.642927083049787385e+01 2.009611757715026314e+01 2.354064580321085742e+01 2.683520177549843311e+01 2.653062235590041595e+01
9.000000000000000000e+00 6.318606680606746018e+00 1.105232938074511395e+01 1.642927656355709587e+01 2.009611304236193163e+01 2.354066609564835844e+01 2.683525081547217184e+01 2.653066715904812511e+01
1.000000000000000000e+01 6.312154541779459116e+00 1.104934579962930208e+01 1.642929025553383582e+01 2.009611781767827310e+01 2.354068722976978734e+01 2.683532722171788265e+01 2.653072722679745965e+01
1.100000000000000000e+01 6.309293551596282690e+00 1.104758974020331053e+01 1.642929280669544667e+01 2.009610419406831738e+01 2.354067709954251342e+01 2.683529212903882666e+01 2.653067145526135917e+01
1.200000000000000000e+01 6.308466686293324521e+00 1.104686990396183077e+01 1.642928801953855000e+01 2.009609583571516112e+01 2.354065127377584687e+01 2.683519045351448895e+01 2.653055259930947329e+01
1.300000000000000000e+01 6.307491646042839406e+00 1.104654444083918818e+01 1.642928235366798617e+01 2.009609254434544212e+01 2.354063278014016092e+01 2.683510760242686999e+01 2.653045800231254958e+01
1.400000000000000000e+01 6.306078863808814106e+00 1.104629265477083777e+01 1.642926594970697352e+01 2.009608119003857851e+01 2.354062550425497591e+01 2.683507161831084886e+01 2.653041300097822131e+01
1.500000000000000000e+01 6.304907050738155050e+00 1.104604439327910725e+01 1.642925218701309120e+01 2.009606985274443858e+01 2.354062058936788304e+01 2.683505154733893505e+01 2.653038530197296296e+01
1.600000000000000000e+01 6.304318425879859689e+00 1.104582716775395923e+01 1.642923416384419966e+01 2.009605673272617565e+01 2.354061062120965886e+01 2.683501812002278086e+01 2.653034431373814073e+01
1.700000000000000000e+01 6.304131558283739167e+00 1.104562052246543935e+01 1.642921133555928392e+01 2.009604208621174593e+01 2.354059674420559034e+01 2.683497189377582970e+01 2.653029139952708348e+01
1.800000000000000000e+01 6.303995377821330237e+00 1.104537968765015421e+01 1.642918956316784218e+01 2.009601731827001103e+01 2.354058077289974804e+01 2.683492415114926644e+01 2.653023711679703922e+01
1.900000000000000000e+01 6.303790827016889864e+00 1.104507472384613287e+01 1.642916279935808888e+01 2.009600879120788974e+01 2.354056579170627828e+01 2.683488402297184905e+01 2.653019197096788773e+01
2.000000000000000000e+01 6.303566711735330230e+00 1.104471531073256330e+01 1.642913206916111335e+01 2.009598280881612098e+01 2.354055113523929066e+01 2.683484869594401800e+01 2.653015331261437382e+01
2.100000000000000000e+01 6.303393081400447961e+00 1.104432670715163134e+01 1.642909979458315206e+01 2.009596943571853345e+01 2.354053464979498500e+01 2.683481242863136984e+01 2.653011398147735278e+01
2.200000000000000000e+01 6.303274311702083743e+00 1.104391903314331813e+01 1.642905963772881961e+01 2.009595094622224210e+01 2.354051436837468714e+01 2.683477394818210726e+01 2.653007188454527565e+01
2.300000000000000000e+01 6.303157492011155050e+00 1.104352016947126991e+01 1.642903247503864250e+01 2.009592424068943117e+01 2.354049572240334953e+01 2.683473665248947526e+01 2.653003266260165205e+01
2.400000000000000000e+01 6.303045100673420720e+00 1.104314387304196288e+01 1.642899922922584466e+01 2.009590230709519432e+01 2.354047502677230597e+01 2.683470185505548145e+01 2.652999557496871219e+01
2.500000000000000000e+01 6.302934923639519127e+00 1.104282698463582513e+01 1.642898131960616226e+01 2.009587983784741994e+01 2.354045314511959575e+01 2.683466955859865166e+01 2.652996121457162104e+01
2.600000000000000000e+01 6.302828794204735630e+00 1.104255561896328608e+01 1.642897719252007960e+01 2.009584771799852732e+01 2.354042789347100140e+01 2.683463636045019740e+01 2.652992587961653115e+01
2.700000000000000000e+01 6.302736315974514447e+00 1.104235050942826035e+01 1.642896685963408387e+01 2.009581862930089358e+01 2.354040332023712168e+01 2.683460521983636937e+01 2.652989301435277625e+01
2.800000000000000000e+01 6.302653804052680719e+00 1.104217623896295031e+01 1.642895569140831213e+01 2.009579089444268973e+01 2.354037983983110749e+01 2.683457652499510715e+01 2.652986291817881437e+01
2.900000000000000000e+01 6.302569806869061431e+00 1.104198614000434198e+01 1.642894196202107437e+01 2.009575859058305625e+01 2.354035535655429356e+01 2.683454793783799275e+01 2.652983306808220121e+01
3.000000000000000000e+01 6.302476782178112025e+00 1.104174831807801382e+01 1.642892552017321606e+01 2.009572109216227531e+01 2.354032838304136277e+01 2.683451756001026567e+01 2.652980150545674931e+01
3.100000000000000000e+01 6.302382434053082960e+00 1.104148892161393469e+01 1.642891111692372519e+01 2.009569098483377303e+01 2.354030271206969260e+01 2.683448834645249192e+01 2.652977146811788245e+01
3.200000000000000000e+01 6.302293925045671763e+00 1.104124510782241586e+01 1.642890017980678508e+01 2.009566224001640578e+01 2.354027857296579995e+01 2.683446149640615275e+01 2.652974394389511303e+01
3.300000000000000000e+01 6.302206231258112190e+00 1.104102391971385799e+01 1.642889343802459123e+01 2.009563078336718078e+01 2.354025442298904380e+01 2.683443539755786844e+01 2.652971723534987092e+01
3.400000000000000000e+01 6.302109549394734778e+00 1.104082173499907071e+01 1.642889085915041747e+01 2.009559428060045860e+01 2.354022802128289982e+01 2.683440746775560726e+01 2.652968868750262033e+01
3.500000000000000000e+01 6.302006262279244098e+00 1.104065588975736034e+01 1.642889185757809045e+01 2.009555864152688898e+01 2.354020091674878401e+01 2.683437881406325332e+01 2.652965951902827868e+01
3.600000000000000000e+01 6.301904856917428965e+00 1.104052299166718321e+01 1.642889442141820311e+01 2.009552826691157890e+01 2.354017567367900199e+01 2.683435172791273970e+01 2.652963210556411511e+01
3.700000000000000000e+01 6.301806008154852812e+00 1.104039689160535431e+01 1.642889630771283294e+01 2.009549591668222490e+01 2.354015075527926015e+01 2.683432563659737013e+01 2.652960568928149598e+01
