%      J   y/delta        y+         U+          uu+         vv+         ww+         uv+
    53  7.0972E-01  1.2775E+02  1.7555E+01  1.0567E+00  4.4751E-01  5.4158E-01 -2.6490E-01
    54  7.3329E-01  1.3199E+02  1.7632E+01  9.9863E-01  4.3568E-01  5.1809E-01 -2.4271E-01
    55  7.5702E-01  1.3626E+02  1.7705E+01  9.4279E-01  4.2444E-01  4.9631E-01 -2.2058E-01
    56  7.8090E-01  1.4056E+02  1.7771E+01  8.8957E-01  4.1387E-01  4.7640E-01 -1.9855E-01
    57  8.0491E-01  1.4488E+02  1.7832E+01  8.3943E-01  4.0412E-01  4.5816E-01 -1.7655E-01
    58  8.2904E-01  1.4923E+02  1.7887E+01  7.9285E-01  3.9537E-01  4.4143E-01 -1.5452E-01
    59  8.5327E-01  1.5359E+02  1.7936E+01  7.5044E-01  3.8785E-01  4.2619E-01 -1.3239E-01
    60  8.7759E-01  1.5797E+02  1.7978E+01  7.1328E-01  3.8166E-01  4.1238E-01 -1.1018E-01
    61  9.0198E-01  1.6236E+02  1.8013E+01  6.8207E-01  3.7677E-01  4.0018E-01 -8.8025E-02
    62  9.2644E-01  1.6676E+02  1.8040E+01  6.5732E-01  3.7308E-01  3.8992E-01 -6.5955E-02
    63  9.5093E-01  1.7117E+02  1.8060E+01  6.3951E-01  3.7051E-01  3.8200E-01 -4.3953E-02
    64  9.7546E-01  1.7558E+02  1.8072E+01  6.2874E-01  3.6902E-01  3.7695E-01 -2.1989E-02
    65  1.0000E+00  1.8000E+02  1.8076E+01  6.2508E-01  3.6855E-01  3.7519E-01  0.0000E+00
