x,Curve1
-0.99735,0.0008378
-0.98817,0.0015837
-0.93519,0.0022072
-0.82347,0.001983
-0.67672,0.001667
-0.47071,0.0014229
-0.27782,0.0012502
-0.04984,0.0010879
0.21328,0.0010177
0.46325,0.0009679
0.73521,0.0010204
0.90186,0.0009906
0.97401,0.0006027
