x,Curve1
-0.99198,0.0026361
-0.98411,0.0049758
-0.97513,0.0053641
-0.97364,0.004087
-0.92949,0.0046185
-0.83547,0.0041081
-0.62949,0.0038129
-0.43006,0.0035687
-0.2197,0.0032632
0.02569,0.0028558
0.26235,0.0025301
0.49686,0.0022758
0.73139,0.0020625
0.93535,0.002084
0.9918,0.0010421
