x,Curve1
-0.9903,0.005691
-0.98698,0.0077446
-0.98678,0.0041073
-0.98297,0.0070601
-0.97566,0.0083884
-0.95205,0.0074587
-0.93945,0.0064473
-0.91148,0.0054564
-0.81306,0.0049767
-0.62011,0.0049164
-0.4316,0.0047539
-0.24756,0.0044483
-0.04172,0.0039078
0.15762,0.0034899
0.37666,0.0030313
0.63526,0.0027159
0.84354,0.002625
0.94692,0.0031773
0.97727,0.0025439
0.99189,0.0012158
