1.720144608779661992e-04 9.340888970585060902e-02 9.174054794187187431e-04 4.936278150766558247e+05
5.246441056777969170e-04 2.848356943873867619e-01 8.356377340403266241e-03 6.667579072981690115e+04
8.949052327176191396e-04 4.857575648774586363e-01 2.382903052567093144e-02 3.262488493788902269e+04
1.283679416109432311e-03 6.966188723060322552e-01 4.824455618626147940e-02 2.079455356718939947e+04
1.691892308670836249e-03 9.178678676740936737e-01 8.255420352430097031e-02 1.414707241651779259e+04
2.120515845860310514e-03 1.149948594462067097e+00 1.278013716660452992e-01 1.018219791907103900e+04
2.570570559909259034e-03 1.393291831525797608e+00 1.850647509263294022e-01 7.577057694434555742e+03
3.043128009660654200e-03 1.648301967912408239e+00 2.554677411601428139e-01 5.782560803817692431e+03
3.539313331899619428e-03 1.915342487950331574e+00 3.401206473149787080e-01 4.488294952022378311e+03
4.060307920250532873e-03 2.194716790418590691e+00 4.400779314921939300e-01 3.530843983955738622e+03
4.607352238018991991e-03 2.486647308982989468e+00 5.562656709253285259e-01 2.808255364832657506e+03
5.181748771675874152e-03 2.791251899303520467e+00 6.893993248286711673e-01 2.254517892492207011e+03
5.784865132015601721e-03 3.108518387358802482e+00 8.398882694150890948e-01 1.825414859189554363e+03
6.418137310372313761e-03 3.438279197712050372e+00 1.007746677799040924e+00 1.489874476943506806e+03
7.083073097646863311e-03 3.780187101740984268e+00 1.192503130671123346e+00 1.225541304350178052e+03
7.781255674285138951e-03 4.133694216184115255e+00 1.393131416533695655e+00 1.015987742230615368e+03
8.514347379755328113e-03 4.498036299494623691e+00 1.608007465236019229e+00 8.489324663315351245e+02
9.284093670499028034e-03 4.872224288512857271e+00 1.834903226622871975e+00 7.150751073694956403e+02
1.009232727577991096e-02 5.255044880867372648e+00 2.071023438889236346e+00 6.072966542894906752e+02
1.094097256132483750e-02 5.645071410500695386e+00 2.313086475386016971e+00 5.200995920860275419e+02
1.183205011114701541e-02 6.040685540371534934e+00 2.557444795419294259e+00 4.492069211397380286e+02
1.276768153846029839e-02 6.440109391244091874e+00 2.800234764357030226e+00 3.912695820717861466e+02
1.375009453713924544e-02 6.841446792974139157e+00 3.037542233362618749e+00 3.436501622819528166e+02
1.478162818575214088e-02 7.242731566722496517e+00 3.265570046047258757e+00 3.042617833078070362e+02
1.586473851679567892e-02 7.641980252980570043e+00 3.480796078304259744e+00 2.714474570699201195e+02
1.700200436439139665e-02 8.037246505915843997e+00 3.680113653275035812e+00 2.438890498233589312e+02
1.819613350436689869e-02 8.426674336310943758e+00 3.860948000958844606e+00 2.205375495961964134e+02
1.944996910134117948e-02 8.808547343701247812e+00 4.021342418601340896e+00 2.005583956229457385e+02
2.076649647816417379e-02 9.181331031060537384e+00 4.160006510201763597e+00 1.832874184680096334e+02
2.214885022382831470e-02 9.543705324728604111e+00 4.276319186406299266e+00 1.681941801127283043e+02
2.360032165677566560e-02 9.894584599034786265e+00 4.370285834402746872e+00 1.548511373083660487e+02
