x,Curve1
1.337,0.5617
2.572,1.2771
4.483,2.0595
6.881,2.8019
10.747,3.2705
15.983,3.4519
27.636,3.3736
41.718,3.269
52.69,3.2308
63.759,3.2193
75.215,3.2212
