1.200000000000000025e-02 1.000000000000000000e+00
1.200000000000000025e-02 1.075903596763563508e+00
1.846201572722645096e-02 8.771341833152113132e-01
2.509125999074540009e-02 7.735687631837226963e-01
2.779553114359437430e-02 8.199103808847277852e-01
2.755089436976330963e-02 9.168038879022312182e-01
2.769950809154864482e-02 9.554193790205730563e-01
2.974521772518088844e-02 9.272997267835711988e-01
3.273724496270171563e-02 8.895819605678556563e-01
3.533349290675748267e-02 8.806175597966244828e-01
3.724424556547671628e-02 8.932727415444221553e-01
3.893798924908024178e-02 9.050255567962136594e-01
4.078169199230335246e-02 9.071529879316198031e-01
4.282854599903404558e-02 9.031379219116333346e-01
4.491805181636086830e-02 9.000640936367368949e-01
4.700972197506108480e-02 8.984730709649537683e-01
4.905774272523139717e-02 8.987687948423098705e-01
5.107785332579888038e-02 8.996144105210587272e-01
5.308930573352461935e-02 9.002536731814766435e-01
5.510244545707992936e-02 9.005311216159463950e-01
5.712327978897106112e-02 9.004774806247857200e-01
5.915323260908925129e-02 9.002226979235289361e-01
6.118588526380666637e-02 9.000278107079198175e-01
6.321966978104649748e-02 8.999020705370548434e-01
6.524753380781546375e-02 8.999872127133938804e-01
6.726871841405075714e-02 9.001967693149054428e-01
6.928873263565171747e-02 9.003308072315197030e-01
7.130671695204914007e-02 9.004485738199150546e-01
7.332100229798217683e-02 9.005999313757222513e-01
7.533215281849445222e-02 9.007539807891451478e-01
7.734318438978182719e-02 9.008339792264790091e-01
7.935432632473898851e-02 9.008712193534011980e-01
8.136930858160708324e-02 9.007938313690890819e-01
8.338229319133938500e-02 9.008050785553278761e-01
8.539757401228054157e-02 9.007532968682259167e-01
8.741305740927612922e-02 9.007223416233138824e-01
8.942920172321215666e-02 9.006903410773470231e-01
9.144652792770999183e-02 9.006447935403183447e-01
9.346273978633204416e-02 9.006498784186987017e-01
9.547391353656901891e-02 9.007783735675156667e-01
9.748392115631822341e-02 9.008717744041185860e-01
9.948879433593822708e-02 9.010468358256499277e-01
1.014948130375371849e-01 9.011057284869417039e-01
1.035075811577688826e-01 9.009664393517693437e-01
1.055180427073028893e-01 9.009544590516254114e-01
1.075285666245824334e-01 9.009469097079149114e-01
1.095401986693432805e-01 9.009154318490268931e-01
1.115512350916569723e-01 9.009145834807618103e-01
1.135624891881817367e-01 9.009087174413525911e-01
1.155735994205159684e-01 9.009093810264112712e-01
1.175845193124436805e-01 9.009144713291035167e-01
1.195951723081180723e-01 9.009236888867827586e-01
1.216054956719110069e-01 9.009365384626586426e-01
1.236154498414577807e-01 9.009521931067506761e-01
1.256250062278894963e-01 9.009699650066733678e-01
1.276341247022118874e-01 9.009897987593677993e-01
1.296427847558152269e-01 9.010111761536910846e-01
1.316509614693111840e-01 9.010339483535372285e-01
1.336586242748327991e-01 9.010581821528188540e-01
1.356657406207423255e-01 9.010839605427622967e-01
1.376722787901210887e-01 9.011113041510028232e-01
1.396781987772853506e-01 9.011404305104859791e-01
1.416834543672937929e-01 9.011716036191228518e-01
1.436880186889625266e-01 9.012044718819336442e-01
1.456918468679612166e-01 9.012393095800902421e-01
1.476949058933414438e-01 9.012759572696302790e-01
1.496971647412554396e-01 9.013142855510563045e-01
1.516985879276434024e-01 9.013543412299195312e-01
1.536991503525991787e-01 9.013958881051562511e-01
1.556988189943069589e-01 9.014390061239745400e-01
1.576975639734283785e-01 9.014836566980424237e-01
1.596953659915890666e-01 9.015295560090946791e-01
1.616922042410193217e-01 9.015765998828815242e-01
1.636880596834597024e-01 9.016246919945221094e-01
1.656829133879062499e-01 9.016737815001878431e-01
1.676767462813301968e-01 9.017238465285862814e-01
1.696695393658141926e-01 9.017748742662841099e-01
1.716612680898607357e-01 9.018269971460690648e-01
1.736519140841388531e-01 9.018801268301721574e-01
1.756414546008036592e-01 9.019343286125567349e-01
1.776298643942537947e-01 9.019896975841160680e-01
1.796171274012477448e-01 9.020460517313001469e-01
1.816032190279990299e-01 9.021035133109586157e-01
1.835881199596046676e-01 9.021620114794290934e-01
1.855718155163800787e-01 9.022213949344202177e-01
1.875542811817149380e-01 9.022818339479292682e-01
1.895355052080274216e-01 9.023430944302435197e-01
1.915154677944750916e-01 9.024052606680206257e-01
1.934941605713946244e-01 9.024680890251124410e-01
1.954715546298270434e-01 9.025319711658366106e-01
1.974476600733327536e-01 9.025961276093663610e-01
1.994224537415180132e-01 9.026610002141421951e-01
2.013959276121808917e-01 9.027264314545901946e-01
2.033680712104924959e-01 9.027924038835954956e-01
2.053388641376049650e-01 9.028591568780770515e-01
2.073083040639445707e-01 9.029263583946391947e-01
2.092763763225245488e-01 9.029941508469105926e-01
2.112430532911470649e-01 9.030629293219829545e-01
2.132083239622342696e-01 9.031324759979021399e-01
2.151721734301206002e-01 9.032027794158834499e-01
2.171345814708048327e-01 9.032739668049266646e-01
2.190955206899268537e-01 9.033462810385036734e-01
2.210549805939757140e-01 9.034194210321214724e-01
2.230129366672845004e-01 9.034935867974320800e-01
2.249693656957146570e-01 9.035688458020529890e-01
2.269242479392515610e-01 9.036451449266944547e-01
2.288775611232615748e-01 9.037225209771877488e-01
2.308292799094372183e-01 9.038010689482938176e-01
2.327793836590251464e-01 9.038807188485395994e-01
2.347278486901642203e-01 9.039615117598837069e-01
2.366746485510336229e-01 9.040435374722974871e-01
2.386197588332702735e-01 9.041267897943232601e-01
2.405631599945977639e-01 9.042111439780651239e-01
2.425048230565589324e-01 9.042967735540942131e-01
2.444447287657133261e-01 9.043835221622777976e-01
2.463828460565164191e-01 9.044716069251521606e-01
2.483191568732170951e-01 9.045608111591496581e-01
2.502536351155314476e-01 9.046512276358065208e-01
2.521862517402588266e-01 9.047429763138097325e-01
2.541169873459579454e-01 9.048358761285174579e-01
2.560458155834947069e-01 9.049300102399310264e-01
2.579727147096735340e-01 9.050253050795851184e-01
2.598976463000359227e-01 9.051221408948242342e-01
2.618206014441135099e-01 9.052199699595635529e-01
2.637415621337088623e-01 9.053187458539890820e-01
2.656604832384619197e-01 9.054191234222587203e-01
2.675773465064081869e-01 9.055207581265640737e-01
2.694921380531736244e-01 9.056233685082369922e-01
2.714048300353638643e-01 9.057271628134534458e-01
2.733153806505483341e-01 9.058325941412063154e-01
2.752237914422955289e-01 9.059388053910145677e-01
