x,Curve1
-0.98051,-0.33067
-0.94397,-0.064
-0.79537,0.12533
-0.60292,0.22667
-0.36419,0.304
-0.12546,0.35467
0.14495,0.38133
0.42753,0.416
0.72473,0.46933
0.90499,0.536
0.98051,0.68533
1,0.896
