x,Curve1
1.53,0.6018
3.537,1.4177
6.51,2.3607
9.694,2.8826
14.444,3.0773
21.243,2.9982
32.124,2.8196
44.751,2.6746
56.696,2.583
68.64,2.5316
78.251,2.5399
