%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%                                                           %%%%%%
%%%%%%              Turbulent Plane Poiseuille flow              %%%%%%
%%%%%%                                                           %%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%                                                           %%%%%%
%%%%%%      Supported by the German Science Foundation (DFG)     %%%%%%
%%%%%%                                                           %%%%%%
%%%%%%            Projects:   OB 96/39-1                         %%%%%%
%%%%%%                        OB 96/48-1                         %%%%%%
%%%%%%                                                           %%%%%%
%%%%%%                          and                              %%%%%%
%%%%%%                                                           %%%%%%
%%%%%%                      MINECO/FEDER                         %%%%%%
%%%%%%            Project: RTI2018-102256-B-I00                  %%%%%%
%%%%%%                                                           %%%%%%
%%%%%%                      2014 - 2021                          %%%%%%
%%%%%%                                                           %%%%%%
%%%%%%                                                           %%%%%%
%%%%%%                Chair of Fluid Dynamics                    %%%%%%
%%%%%%                                                           %%%%%%
%%%%%%         Department of Mechanical Engineering,             %%%%%%
%%%%%%            Technische Unversitaet Darmstadt,              %%%%%%
%%%%%%      Otto-Berndt-Str. 2, 64287 Darmstadt, Germany         %%%%%%
%%%%%%                                                           %%%%%%
%%%%%%                           &                               %%%%%%
%%%%%%                                                           %%%%%%
%%%%%%                         IUMPA                             %%%%%%
%%%%%%                                                           %%%%%%
%%%%%%          Universitat Politecnica de Valencia,             %%%%%%
%%%%%%       Camino de Vera, s/n 46022 Valencia, Spain           %%%%%%
%%%%%%                                                           %%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%


%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%                                                           %%%%%%
%%%%%%                     <<< CAUTION >>>                       %%%%%%
%%%%%%                                                           %%%%%%
%%%%%%  All rights are reserved by the Chair of Fluid Dynamics.  %%%%%%
%%%%%%  No part of the data described herein may be represented  %%%%%%
%%%%%%  without reference. The data base may be used without     %%%%%%
%%%%%%  notification to the author's laboratory.                 %%%%%%
%%%%%%                                                           %%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%                                                                   %%
%%  REFERENCES:                                                      %%
%%  1. Turbulence statistics of arbitrary moments of wall-bounded    %%
%%     shear flows: A symmetry approach                              %%
%%     M. Oberlack, S. Hoyas, S. Kraheberger, F. Alcantara-Avila and %%
%%     J. Laux                                                       %%
%%     Accepted in PRL. Please check final reference                                               %%
%%                                                                   %%
%%  2. Wall turbulence at high friction Reynolds numbers             %%
%%                                                                   %%
%%     S. Hoyas, M. Oberlack, S. Kraheberger, F. Alcantara-Avila and %%
%%     J. Laux                                                       %%
%%     Accepted in PRF. Please check final reference                                                %%
%%                                                                   %%
Please check the final references before citing these papers
%%                                                                   %%
%%  NOMENCLATURE:                                                    %%
%%   x = streamwise coordinate                                       %%
%%   y = wall-normal coordinate                                      %%
%%   z = spanwise coordinate                                         %%
%%   h = channel half-width                                          %%
%%   U = mean streamwise velocity                                    %%
%%   utau = friction velocity                                        %%
%%   nu = kinematic viscosity                                        %%
%%   Retau = Reynolds number utau*h/nu                               %%
%%   u',v',w' = rms values of streamwise, wall-normal and spanwise   %%
%%              velocity fluctuations                                %%
%%   uv',  = Reynolds shear stresses                                 %%
%%   dU/dy = viscous stress                                          %%
%%   (.)+ = normalized by utau and nu                                %%
%%                                                                   %%
%%                                                                   %%
%%  BOX SIZE in h (x,y,z): 2pi|2|1pi                                 %%
%%  FLOW CONDITIONS:  Retau = 10050 (Re = 290000),                   %%
%%                     utau = 0.034600                               %%
%%                                                                   %%
%% Data file created: October 06, 2021                               %%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%      y/h            y+         dissip        prod         p-strain       p-diff        T-diff        V-diff   
   0.00000000    0.00000000    0.00000000    0.00000000    0.17921952   -0.17921952    0.00000000   -0.00000000 
   0.00003027    0.30422051    0.00146903   -0.00000194    0.15395233   -0.15322070   -0.00000391   -0.00220146 
   0.00007219    0.72547606    0.00380679   -0.00004565    0.14246387   -0.14057381   -0.00010096   -0.00557979 
   0.00012539    1.26009548    0.00694490   -0.00034110    0.12186126   -0.11792045   -0.00075094   -0.00985405 
   0.00018953    1.90459822    0.01039262   -0.00144158    0.09546961   -0.08763476   -0.00298100   -0.01397464 
   0.00026427    2.65568260    0.01327025   -0.00428824    0.06974249   -0.05500895   -0.00785741   -0.01625713 
   0.00034930    3.51022321    0.01469199   -0.00997642    0.05136099   -0.02619017   -0.01518503   -0.01549846 
   0.00044433    4.46525090    0.01433560   -0.01927260    0.04491976   -0.00651708   -0.02294905   -0.01188906 
   0.00054909    5.51794500    0.01249936   -0.03214003    0.05068068    0.00198024   -0.02833542   -0.00673900 
   0.00066329    6.66561615    0.00987257   -0.04759051    0.06560877    0.00036778   -0.02938183   -0.00167173 
   0.00078669    7.90570435    0.00715642   -0.06396707    0.08470507   -0.00780364   -0.02577988    0.00222225 
   0.00091905    9.23577385    0.00483906   -0.07947083    0.10328496   -0.01850945   -0.01869521    0.00452090 
   0.00106012   10.65349956    0.00313436   -0.09264195    0.11800406   -0.02838038   -0.00993364    0.00542220 
   0.00120970   12.15666242    0.00204589   -0.10261346    0.12741979   -0.03553444   -0.00123161    0.00534265 
   0.00136757   13.74313765    0.00146819   -0.10912242    0.13149257   -0.03933996    0.00622188    0.00474326 
   0.00153353   15.41089442    0.00126629   -0.11237248    0.13111033   -0.04011261    0.01181808    0.00394348 
   0.00170738   17.15799316    0.00131788   -0.11284461    0.12742162   -0.03852946    0.01545719    0.00315094 
   0.00188894   18.98257425    0.00152791   -0.11113429    0.12158400   -0.03539067    0.01732566    0.00245194 
   0.00207804   20.88285772    0.00182727   -0.10783596    0.11451639   -0.03135794    0.01776477    0.00188192 
   0.00227450   22.85713273    0.00216734   -0.10347877    0.10691735   -0.02695012    0.01714116    0.00143215 
   0.00247816   24.90375677    0.00251399   -0.09849872    0.09925049   -0.02250771    0.01579837    0.00108897 
   0.00268886   27.02115562    0.00284414   -0.09323567    0.09182100   -0.01824980    0.01401711    0.00082732 
   0.00290645   29.20781652    0.00314226   -0.08793978    0.08480846   -0.01430444    0.01202458    0.00063125 
   0.00313079   31.46228566    0.00339864   -0.08278517    0.07831429   -0.01074733    0.00999100    0.00048287 
   0.00336174   33.78316407    0.00360840   -0.07788502    0.07237290   -0.00759867    0.00803515    0.00037181 
   0.00359917   36.16910254    0.00377014   -0.07330535    0.06699353   -0.00486822    0.00623906    0.00028636 
   0.00384293   38.61880161    0.00388521   -0.06907589    0.06215908   -0.00254604    0.00464741    0.00022151 
   0.00409292   41.13101158    0.00395678   -0.06520179    0.05783991   -0.00060848    0.00327842    0.00017147 
   0.00434901   43.70452728    0.00398875   -0.06167109    0.05399488    0.00098123    0.00212674    0.00013422 
   0.00461109   46.33818626    0.00398587   -0.05846229    0.05057907    0.00226042    0.00118031    0.00010564 
   0.00487903   49.03086709    0.00395321   -0.05554820    0.04754550    0.00327467    0.00040987    0.00008392 
   0.00515274   51.78148464    0.00389564   -0.05289939    0.04485327    0.00405995   -0.00020617    0.00006651 
   0.00543212   54.58899006    0.00381798   -0.05048528    0.04246009    0.00464761   -0.00068301    0.00005195 
   0.00571705   57.45237080    0.00372429   -0.04827665    0.04033367    0.00505947   -0.00103743    0.00004069 
   0.00600745   60.37064975    0.00361846   -0.04624921    0.03844088    0.00532080   -0.00129516    0.00003303 
   0.00630321   63.34287927    0.00350383   -0.04438206    0.03675229    0.00545481   -0.00147280    0.00002693 
   0.00660425   66.36814468    0.00338335   -0.04265519    0.03523867    0.00549167   -0.00158970    0.00002217 
   0.00691049   69.44555891    0.00325909   -0.04105158    0.03387984    0.00544735   -0.00165901    0.00001844 
   0.00722182   72.57426142    0.00313300   -0.03955674    0.03265081    0.00534121   -0.00168791    0.00001506 
   0.00753818   75.75341817    0.00300690   -0.03815896    0.03152447    0.00519477   -0.00168293    0.00001247 
   0.00785947   78.98222162    0.00288245   -0.03684975    0.03048193    0.00502298   -0.00165163    0.00001045 
